battery_id,cycle,voltage,temperature,capacity,soh,rul,health_label,degradation_pct
B0005,80,3.51546,31.9894,1.56787,0.842047,88,Warning,15.8
B0005,81,3.51587,32.1026,1.56803,0.842132,87,Warning,15.79
B0005,82,3.51525,32.6094,1.56251,0.839167,86,Warning,16.08
B0005,83,3.51297,32.8749,1.55204,0.833545,85,Warning,16.65
B0005,84,3.51355,32.7223,1.55187,0.833454,84,Warning,16.65
B0005,85,3.51418,32.4186,1.54643,0.830533,83,Warning,16.95
B0005,86,3.51092,32.2673,1.53089,0.822187,82,Warning,17.78
B0005,87,3.51049,32.5498,1.53154,0.822536,81,Warning,17.75
B0005,88,3.51396,32.8677,1.52567,0.819384,80,Warning,18.06
B0005,89,3.51167,32.9536,1.52576,0.819431,79,Warning,18.06
B0005,90,3.52436,32.7441,1.60883,0.864044,78,Warning,13.6
B0005,91,3.51846,33.2445,1.56685,0.8415,77,Warning,15.85
B0005,92,3.51597,33.2625,1.55109,0.833034,76,Warning,16.7
B0005,93,3.5185,33.0364,1.53541,0.824611,75,Warning,17.54
B0005,94,3.51123,32.8716,1.53521,0.824507,74,Warning,17.55
B0005,95,3.50931,32.8926,1.51999,0.81633,73,Warning,18.37
B0005,96,3.5116,32.8004,1.51495,0.813627,72,Warning,18.64
B0005,97,3.50701,32.9496,1.50959,0.810748,71,Warning,18.93
B0005,98,3.50459,32.9603,1.50986,0.81089,70,Warning,18.91
B0005,99,3.50718,32.9761,1.49915,0.805137,69,Warning,19.49
B0005,100,3.50628,33.0767,1.48892,0.799646,68,Critical,20.04
B0005,101,3.5049,32.9697,1.48343,0.796699,67,Critical,20.33
B0005,102,3.506,32.9646,1.47823,0.793903,66,Critical,20.61
B0005,103,3.49777,33.1118,1.49419,0.802477,65,Warning,19.75
B0005,104,3.50897,33.6855,1.49913,0.805126,64,Warning,19.49
B0005,105,3.50161,33.5761,1.48912,0.799754,63,Critical,20.02
B0005,106,3.50468,33.4326,1.47275,0.79096,62,Critical,20.9
B0005,107,3.49822,33.1827,1.45695,0.782473,61,Critical,21.75
B0005,108,3.49857,33.2699,1.4572,0.782611,60,Critical,21.74
B0005,109,3.49439,33.5481,1.46333,0.7859,59,Critical,21.41
B0005,110,3.49888,33.6955,1.45209,0.779867,58,Critical,22.01
B0005,111,3.5001,33.3659,1.44168,0.774273,57,Critical,22.57
B0005,112,3.49466,33.3511,1.4365,0.771492,56,Critical,22.85
B0005,113,3.49352,33.5765,1.43644,0.771461,55,Critical,22.85
B0005,114,3.49585,33.8019,1.43108,0.768581,54,Critical,23.14
B0005,115,3.49678,33.6539,1.42595,0.765828,53,Critical,23.42
B0005,116,3.49316,33.468,1.42045,0.762875,52,Critical,23.71
B0005,117,3.4908,33.3207,1.41548,0.760203,51,Critical,23.98
B0005,118,3.48553,33.672,1.41564,0.76029,50,Critical,23.97
B0005,119,3.49207,33.956,1.41069,0.75763,49,Critical,24.24
B0005,120,3.49224,33.766,1.43648,0.771481,48,Critical,22.85
B0005,121,3.49639,34.0154,1.4413,0.774072,47,Critical,22.59
B0005,122,3.49516,33.6266,1.42041,0.762851,46,Critical,23.71
B0005,123,3.49117,33.2981,1.41527,0.760089,45,Critical,23.99
B0005,124,3.48716,33.3118,1.40948,0.756981,44,Critical,24.3
B0005,125,3.48982,33.1898,1.39975,0.751757,43,Critical,24.82
B0005,126,3.48195,33.323,1.38865,0.745796,42,Critical,25.42
B0005,127,3.48473,33.2577,1.38924,0.746112,41,Critical,25.39
B0005,128,3.48524,33.0597,1.38349,0.74302,40,Critical,25.7
B0005,129,3.48223,33.0782,1.37264,0.737198,39,Critical,26.28
B0005,130,3.48231,33.0815,1.37357,0.737692,38,Critical,26.23
B0005,131,3.4782,33.2104,1.37356,0.73769,37,Critical,26.23
B0005,132,3.47851,33.0631,1.37304,0.737408,36,Critical,26.26
B0005,133,3.48197,33.5842,1.37843,0.740306,35,Critical,25.97
B0005,134,3.49115,33.6903,1.38913,0.746051,34,Critical,25.39
B0005,135,3.48171,33.6416,1.36721,0.734277,33,Critical,26.57
B0005,136,3.47971,33.4672,1.37304,0.737409,32,Critical,26.26
B0005,137,3.48182,33.0722,1.35739,0.729007,31,Critical,27.1
B0005,138,3.47993,33.6102,1.36294,0.731986,30,Critical,26.8
B0005,139,3.47563,33.7946,1.35776,0.729203,29,Critical,27.08
B0005,140,3.47949,33.3963,1.35236,0.726303,28,Critical,27.37
B0005,141,3.47267,33.1711,1.34726,0.723565,27,Critical,27.64
B0005,142,3.47212,33.1912,1.34207,0.720776,26,Critical,27.92
B0005,143,3.47379,33.4495,1.34194,0.720705,25,Critical,27.93
B0005,144,3.47522,33.4512,1.33706,0.718086,24,Critical,28.19
B0005,145,3.47013,33.1936,1.33692,0.718012,23,Critical,28.2
B0005,146,3.46874,33.0236,1.33148,0.715092,22,Critical,28.49
B0005,147,3.46838,33.0677,1.32127,0.709606,21,Critical,29.04
B0005,148,3.47345,33.3266,1.32159,0.70978,20,Critical,29.02
B0005,149,3.46954,33.2694,1.32136,0.709656,19,Critical,29.03
B0005,150,3.4677,32.8819,1.32694,0.712652,18,Critical,28.73
B0005,151,3.47168,33.3239,1.35752,0.729077,17,Critical,27.09
B0005,152,3.47554,33.3214,1.34791,0.723913,16,Critical,27.61
B0005,153,3.47779,33.0536,1.33213,0.715439,15,Critical,28.46
B0005,154,3.47269,33.1301,1.32676,0.712555,14,Critical,28.74
B0005,155,3.46685,33.1813,1.31604,0.706797,13,Critical,29.32
B0005,156,3.47326,33.0847,1.31655,0.707069,12,Critical,29.29
B0005,157,3.46283,33.0512,1.31063,0.703894,11,Critical,29.61
B0005,158,3.46864,32.9708,1.31619,0.706878,10,Critical,29.31
B0005,159,3.46964,33.0569,1.30615,0.701486,9,Critical,29.85
B0005,160,3.46556,33.1332,1.31169,0.704459,8,Critical,29.55
B0005,161,3.46568,33.1306,1.30649,0.701667,7,Critical,29.83
B0005,162,3.46606,33.1848,1.30624,0.701537,6,Critical,29.85
B0005,163,3.46255,33.2377,1.30125,0.698852,5,Critical,30.11
B0005,164,3.46613,33.2177,1.2966,0.696357,4,Critical,30.36
B0005,165,3.46936,33.155,1.29113,0.693422,3,Critical,30.66
B0005,166,3.46068,33.288,1.29577,0.695911,2,Critical,30.41
B0005,167,3.47044,33.588,1.31211,0.704686,1,Critical,29.53
B0005,168,3.47572,33.6446,1.3282,0.713328,0,Critical,28.67
B0006,1,3.55377,32.1829,2.06137,1,154,Healthy,0
B0006,2,3.56148,32.2931,2.04187,0.990543,153,Healthy,0.95
B0006,3,3.56675,32.2441,2.03002,0.984793,152,Healthy,1.52
B0006,4,3.56564,32.186,2.02795,0.983791,151,Healthy,1.62
B0006,5,3.56397,32.0669,2.01722,0.978585,150,Healthy,2.14
B0006,6,3.57355,32.0345,2.03057,0.985059,149,Healthy,1.49
B0006,7,3.57114,32.1116,2.02974,0.984657,148,Healthy,1.53
B0006,8,3.56815,32.1126,1.98542,0.963157,147,Healthy,3.68
B0006,9,3.56928,32.0357,1.97342,0.957338,146,Healthy,4.27
B0006,10,3.56014,32.0349,1.98311,0.962036,145,Healthy,3.8
B0006,11,3.56666,31.8741,1.96213,0.951859,144,Healthy,4.81
B0006,12,3.5687,32.121,1.94002,0.941136,143,Healthy,5.89
B0006,13,3.56921,32.1102,1.92855,0.935571,142,Healthy,6.44
B0006,14,3.56593,31.9891,1.92842,0.935506,141,Healthy,6.45
B0006,15,3.56124,31.8788,1.91759,0.930252,140,Healthy,6.97
B0006,16,3.55788,31.7675,1.90574,0.924503,139,Healthy,7.55
B0006,17,3.55945,31.8308,1.90407,0.923693,138,Healthy,7.63
B0006,18,3.55579,31.87,1.89338,0.918509,137,Healthy,8.15
B0006,19,3.55809,31.8904,1.87287,0.90856,136,Healthy,9.14
B0006,20,3.56271,31.5484,2.00554,0.972919,135,Healthy,2.71
B0006,21,3.57081,31.8745,1.97423,0.957729,134,Healthy,4.23
B0006,22,3.56668,31.5391,1.96238,0.951979,133,Healthy,4.8
B0006,23,3.56356,31.2585,1.95024,0.946089,132,Healthy,5.39
B0006,24,3.57105,31.119,1.95124,0.946578,131,Healthy,5.34
B0006,25,3.56663,31.0332,1.90669,0.924964,130,Healthy,7.5
B0006,26,3.55274,31.0012,1.89517,0.919375,129,Healthy,8.06
B0006,27,3.5561,30.9214,1.88479,0.914343,128,Healthy,8.57
B0006,28,3.55441,30.8945,1.87243,0.908345,127,Healthy,9.17
B0006,29,3.5457,31.0149,1.85988,0.902255,126,Healthy,9.77
B0006,30,3.55832,30.9317,1.87371,0.908964,125,Healthy,9.1
B0006,31,3.55586,31.101,1.93311,0.937783,124,Healthy,6.22
B0006,32,3.55547,31.291,1.89047,0.917097,123,Healthy,8.29
B0006,33,3.54526,31.1313,1.86883,0.906598,122,Healthy,9.34
B0006,34,3.53981,30.813,1.85277,0.898806,121,Warning,10.12
B0006,35,3.53452,30.7125,1.83204,0.888749,120,Warning,11.13
B0006,36,3.53149,31.2867,1.82705,0.886328,119,Warning,11.37
B0006,37,3.52618,31.0484,1.81065,0.878373,118,Warning,12.16
B0006,38,3.52054,30.9501,1.79456,0.870567,117,Warning,12.94
B0006,39,3.51832,30.7923,1.78462,0.865745,116,Warning,13.43
B0006,40,3.51309,31.088,1.77912,0.863077,115,Warning,13.69
B0006,41,3.51521,31.6786,1.76371,0.855605,114,Warning,14.44
B0006,42,3.50958,31.8756,1.75288,0.85035,113,Warning,14.96
B0006,43,3.51298,31.5118,1.77099,0.859133,112,Warning,14.09
B0006,44,3.51689,31.4076,1.78469,0.865783,111,Warning,13.42
B0006,45,3.5078,31.1263,1.74721,0.847598,110,Warning,15.24
B0006,46,3.50212,31.1391,1.72672,0.837661,109,Warning,16.23
B0006,47,3.50163,31.1393,1.7158,0.832363,108,Warning,16.76
B0006,48,3.53892,33.6155,1.84243,0.893793,107,Warning,10.62
B0006,49,3.5309,32.8768,1.82696,0.886286,106,Warning,11.37
B0006,50,3.52381,32.1779,1.78929,0.868014,105,Warning,13.2
B0006,51,3.51131,31.9353,1.7581,0.85288,104,Warning,14.71
B0006,52,3.51135,31.6809,1.74264,0.84538,103,Warning,15.46
B0006,53,3.50357,31.8426,1.72153,0.835141,102,Warning,16.49
B0006,54,3.49801,32.2293,1.71098,0.830022,101,Warning,17
B0006,55,3.49558,32.0247,1.69555,0.822539,100,Warning,17.75
B0006,56,3.49111,31.9829,1.68493,0.817383,99,Warning,18.26
B0006,57,3.48512,31.9346,1.67425,0.812204,98,Warning,18.78
B0006,58,3.47553,32.2608,1.66469,0.807568,97,Warning,19.24
B0006,59,3.47669,32.5846,1.65884,0.804731,96,Warning,19.53
B0006,60,3.47363,32.4671,1.64266,0.796881,95,Critical,20.31
B0006,61,3.47453,32.3869,1.6224,0.787052,94,Critical,21.29
B0006,62,3.46323,32.2576,1.62229,0.786999,93,Critical,21.3
B0006,63,3.46433,32.5826,1.61251,0.782253,92,Critical,21.77
B0006,64,3.45829,32.2704,1.60115,0.776743,91,Critical,22.33
B0006,65,3.46275,32.4633,1.59644,0.774458,90,Critical,22.55
B0006,66,3.45384,32.3937,1.58067,0.766809,89,Critical,23.32
B0006,67,3.45212,32.2818,1.57488,0.764,88,Critical,23.6
B0006,68,3.45078,32.3544,1.56475,0.759085,87,Critical,24.09
B0006,69,3.44668,32.4168,1.55959,0.75658,86,Critical,24.34
B0006,70,3.44201,32.5037,1.54419,0.749108,85,Critical,25.09
B0006,71,3.44572,32.4684,1.54378,0.74891,84,Critical,25.11
B0006,72,3.44104,32.5023,1.53828,0.746244,83,Critical,25.38
B0006,73,3.44132,32.5708,1.52813,0.741321,82,Critical,25.87
B0006,74,3.43854,32.5693,1.52294,0.738799,81,Critical,26.12
B0006,75,3.43761,32.5439,1.51758,0.736202,80,Critical,26.38
B0006,76,3.43875,32.4896,1.50706,0.731099,79,Critical,26.89
B0006,77,3.43037,32.6239,1.50643,0.730794,78,Critical,26.92
B0006,78,3.44217,33.1428,1.54901,0.75145,77,Critical,24.86
B0006,79,3.4394,32.5876,1.51767,0.736247,76,Critical,26.38
B0006,80,3.42753,32.5019,1.50755,0.731334,75,Critical,26.87
B0006,81,3.43157,32.6208,1.49182,0.723703,74,Critical,27.63
B0006,82,3.43133,33.1418,1.49211,0.723844,73,Critical,27.62
B0006,83,3.43173,33.3618,1.48688,0.721311,72,Critical,27.87
B0006,84,3.42685,33.2966,1.48113,0.718519,71,Critical,28.15
B0006,85,3.42374,33.0408,1.47052,0.713373,70,Critical,28.66
B0006,86,3.42114,32.8741,1.46553,0.710951,69,Critical,28.9
B0006,87,3.42436,33.1855,1.4608,0.708656,68,Critical,29.13
B0006,88,3.42289,33.5059,1.46058,0.70855,67,Critical,29.14
B0006,89,3.42444,33.5703,1.45522,0.705951,66,Critical,29.4
B0006,90,3.45132,33.1874,1.60715,0.779651,65,Critical,22.03
B0006,91,3.44866,33.3515,1.55985,0.756706,64,Critical,24.33
B0006,92,3.43803,33.3882,1.53349,0.743918,63,Critical,25.61
B0006,93,3.43581,33.2344,1.51251,0.733744,62,Critical,26.63
B0006,94,3.42984,33.1539,1.50193,0.728608,61,Critical,27.14
B0006,95,3.42669,33.0777,1.48664,0.721193,60,Critical,27.88
B0006,96,3.42877,33.1321,1.47639,0.716219,59,Critical,28.38
B0006,97,3.4246,33.2063,1.47069,0.713455,58,Critical,28.65
B0006,98,3.42252,33.2355,1.46051,0.708518,57,Critical,29.15
B0006,99,3.42266,33.2654,1.45499,0.70584,56,Critical,29.42
B0006,100,3.42053,33.3097,1.45006,0.703446,55,Critical,29.66
B0006,101,3.41489,33.4331,1.45008,0.703456,54,Critical,29.65
B0006,102,3.41626,33.4044,1.4393,0.698228,53,Critical,30.18
B0006,103,3.41675,33.6983,1.43955,0.698348,52,Critical,30.17
B0006,104,3.42879,33.9907,1.46584,0.7111,51,Critical,28.89
B0006,105,3.42535,33.9642,1.44519,0.701083,50,Critical,29.89
B0006,106,3.41683,33.8501,1.43389,0.695604,49,Critical,30.44
B0006,107,3.41733,33.6469,1.42337,0.6905,48,Critical,30.95
B0006,108,3.41733,33.7305,1.41856,0.688167,47,Critical,31.18
B0006,109,3.4195,33.9857,1.40887,0.683464,46,Critical,31.65
B0006,110,3.41966,34.1415,1.40817,0.683127,45,Critical,31.69
B0006,111,3.41119,33.951,1.4082,0.683139,44,Critical,31.69
B0006,112,3.41241,33.8285,1.39753,0.677964,43,Critical,32.2
B0006,113,3.40877,34.1008,1.39783,0.678107,42,Critical,32.19
B0006,114,3.41154,34.3675,1.39229,0.675422,41,Critical,32.46
B0006,115,3.41317,34.1848,1.38737,0.673034,40,Critical,32.7
B0006,116,3.40553,34.0117,1.38708,0.672893,39,Critical,32.71
B0006,117,3.40617,33.8914,1.38223,0.670542,38,Critical,32.95
B0006,118,3.41383,34.0783,1.37179,0.665478,37,Critical,33.45
B0006,119,3.40765,34.4866,1.37745,0.668223,36,Critical,33.18
B0006,120,3.41457,34.2005,1.39782,0.678105,35,Critical,32.19
B0006,121,3.4241,34.3385,1.41871,0.688238,34,Critical,31.18
B0006,122,3.41329,34.1409,1.3976,0.677998,33,Critical,32.2
B0006,123,3.41357,33.8122,1.3819,0.670381,32,Critical,32.96
B0006,124,3.40804,33.8253,1.37618,0.667608,31,Critical,33.24
B0006,125,3.41088,33.7993,1.36619,0.66276,30,Critical,33.72
B0006,126,3.40435,33.7978,1.36105,0.660266,29,Critical,33.97
B0006,127,3.40946,33.7202,1.35582,0.65773,28,Critical,34.23
B0006,128,3.4069,33.6333,1.35012,0.654962,27,Critical,34.5
B0006,129,3.41019,33.588,1.33955,0.649836,26,Critical,35.02
B0006,130,3.40288,33.6337,1.3404,0.650248,25,Critical,34.98
B0006,131,3.40412,33.6168,1.34008,0.650095,24,Critical,34.99
B0006,132,3.40517,33.6291,1.32923,0.644831,23,Critical,35.52
B0006,133,3.40652,33.9378,1.33459,0.647431,22,Critical,35.26
B0006,134,3.4136,33.8397,1.36635,0.662839,21,Critical,33.72
B0006,135,3.41623,33.5192,1.33962,0.649872,20,Critical,35.01
B0006,136,3.4041,33.4171,1.33419,0.647235,19,Critical,35.28
B0006,137,3.40821,33.1476,1.31886,0.639798,18,Critical,36.02
B0006,138,3.40606,33.5409,1.31928,0.640004,17,Critical,36
B0006,139,3.4094,33.7428,1.31914,0.639935,16,Critical,36.01
B0006,140,3.40551,33.5258,1.3085,0.634773,15,Critical,36.52
B0006,141,3.40195,33.2691,1.30354,0.632369,14,Critical,36.76
B0006,142,3.40961,33.0942,1.2929,0.627208,13,Critical,37.28
B0006,143,3.40593,33.4015,1.29294,0.627226,12,Critical,37.28
B0006,144,3.40597,33.4356,1.29303,0.627268,11,Critical,37.27
B0006,145,3.4068,33.1816,1.27738,0.619678,10,Critical,38.03
B0006,146,3.40527,32.9151,1.27178,0.616959,9,Critical,38.3
B0006,147,3.40143,32.949,1.27747,0.61972,8,Critical,38.03
B0006,148,3.40502,33.2665,1.27216,0.617142,7,Critical,38.29
B0006,149,3.40661,33.1858,1.26184,0.612139,6,Critical,38.79
B0006,150,3.41004,33.0715,1.26714,0.614711,5,Critical,38.53
B0006,151,3.41831,33.7646,1.30356,0.632375,4,Critical,36.76
B0006,152,3.41396,33.7854,1.27726,0.619621,3,Critical,38.04
B0006,153,3.41059,33.6531,1.26694,0.614614,2,Critical,38.54
B0006,154,3.41173,33.5636,1.25106,0.606908,1,Critical,39.31
B0006,155,3.40608,33.5449,1.24599,0.604449,0,Critical,39.56
B0007,1,3.5253,32.5858,1.91866,1,167,Healthy,0
B0007,2,3.53409,32.7182,1.90826,0.994581,166,Healthy,0.54
B0007,3,3.5344,32.6851,1.90827,0.994584,165,Healthy,0.54
B0007,4,3.53492,32.5547,1.90844,0.994676,164,Healthy,0.53
B0007,5,3.53738,32.4345,1.90697,0.993905,163,Healthy,0.61
B0007,6,3.54116,32.4862,1.89724,0.988839,162,Healthy,1.12
B0007,7,3.54355,32.5306,1.89641,0.988403,161,Healthy,1.16
B0007,8,3.54946,32.4537,1.89793,0.989197,160,Healthy,1.08
B0007,9,3.54967,32.383,1.89701,0.988718,159,Healthy,1.13
B0007,10,3.54469,32.3483,1.89762,0.989036,158,Healthy,1.1
B0007,11,3.54843,32.1833,1.89748,0.988962,157,Healthy,1.1
B0007,12,3.55604,32.3789,1.88712,0.983564,156,Healthy,1.64
B0007,13,3.55703,32.3342,1.88658,0.983281,155,Healthy,1.67
B0007,14,3.55629,32.1478,1.88637,0.98317,154,Healthy,1.68
B0007,15,3.56477,32.0138,1.87568,0.977599,153,Healthy,2.24
B0007,16,3.56198,31.9247,1.88438,0.982133,152,Healthy,1.79
B0007,17,3.56596,31.8543,1.8752,0.977349,151,Healthy,2.27
B0007,18,3.56904,31.9,1.8648,0.971928,150,Healthy,2.81
B0007,19,3.56995,31.8672,1.8647,0.97188,149,Healthy,2.81
B0007,20,3.54643,32.3522,1.90839,0.99465,148,Healthy,0.53
B0007,21,3.55704,32.5629,1.90902,0.994975,147,Healthy,0.5
B0007,22,3.56006,32.2012,1.89744,0.988939,146,Healthy,1.11
B0007,23,3.55613,31.8482,1.90778,0.994331,145,Healthy,0.57
B0007,24,3.55239,31.737,1.89763,0.989041,144,Healthy,1.1
B0007,25,3.57077,31.5171,1.88707,0.983537,143,Healthy,1.65
B0007,26,3.56572,31.4429,1.88706,0.983528,142,Healthy,1.65
B0007,27,3.56785,31.3661,1.87641,0.977979,141,Healthy,2.2
B0007,28,3.56797,31.2857,1.87553,0.977521,140,Healthy,2.25
B0007,29,3.56463,31.3319,1.87569,0.977605,139,Healthy,2.24
B0007,30,3.56898,31.3229,1.86555,0.972322,138,Healthy,2.77
B0007,31,3.56462,31.6084,1.90228,0.991462,137,Healthy,0.85
B0007,32,3.56595,31.8252,1.87617,0.977856,136,Healthy,2.21
B0007,33,3.56874,31.515,1.87116,0.975246,135,Healthy,2.48
B0007,34,3.56424,31.1387,1.86596,0.972533,134,Healthy,2.75
B0007,35,3.56353,31.0903,1.86112,0.970011,133,Healthy,3
B0007,36,3.56366,31.6402,1.86136,0.970135,132,Healthy,2.99
B0007,37,3.56044,31.3534,1.85067,0.964564,131,Healthy,3.54
B0007,38,3.56269,31.1547,1.8453,0.961764,130,Healthy,3.82
B0007,39,3.55981,30.9954,1.84066,0.959347,129,Healthy,4.07
B0007,40,3.56125,31.2217,1.83553,0.956673,128,Healthy,4.33
B0007,41,3.56115,31.7448,1.83057,0.954087,127,Healthy,4.59
B0007,42,3.56163,31.9233,1.83017,0.953882,126,Healthy,4.61
B0007,43,3.56045,31.5812,1.82943,0.953495,125,Healthy,4.65
B0007,44,3.56049,31.2466,1.8251,0.951237,124,Healthy,4.88
B0007,45,3.5567,30.9394,1.81463,0.94578,123,Healthy,5.42
B0007,46,3.55471,30.9302,1.79909,0.93768,122,Healthy,6.23
B0007,47,3.55614,30.9207,1.7991,0.937686,121,Healthy,6.23
B0007,48,3.569,33.8806,1.83408,0.955917,120,Healthy,4.41
B0007,49,3.57106,33.0383,1.83454,0.956157,119,Healthy,4.38
B0007,50,3.56669,32.2733,1.81914,0.948129,118,Healthy,5.19
B0007,51,3.56333,31.9379,1.80925,0.942978,117,Healthy,5.7
B0007,52,3.56113,31.6665,1.79912,0.937696,116,Healthy,6.23
B0007,53,3.55889,31.7563,1.79408,0.935072,115,Healthy,6.49
B0007,54,3.55501,32.1339,1.78903,0.932436,114,Healthy,6.76
B0007,55,3.55476,31.8672,1.77887,0.927142,113,Healthy,7.29
B0007,56,3.54719,31.8174,1.77379,0.924493,112,Healthy,7.55
B0007,57,3.54491,31.7468,1.77364,0.924417,111,Healthy,7.56
B0007,58,3.54699,31.9336,1.76389,0.919335,110,Healthy,8.07
B0007,59,3.54963,32.2538,1.7584,0.916471,109,Healthy,8.35
B0007,60,3.54083,32.1288,1.75268,0.913492,108,Healthy,8.65
B0007,61,3.54442,31.9987,1.74272,0.9083,107,Healthy,9.17
